Model,Scenario,LTC Recovery (%),LTC MAPE (%)
almon_pdl,S1,42.6,57.4
almon_pdl,S2,18.7,81.3
almon_pdl,S3,40.6,59.4
almon_pdl,S4,68.6,31.4
almon_pdl,S5,0.0,272.7
ardl,S1,0.0,316.8
ardl,S2,68.8,31.2
ardl,S3,63.3,36.7
ardl,S4,-19.8,219.8
ardl,S5,0.0,1134.6
bsts,S1,82.4,17.6
bsts,S2,81.0,19.0
bsts,S3,76.8,23.2
bsts,S4,81.6,18.4
bsts,S5,0.0,564.9
dual_adstock,S1,0.0,789.9
dual_adstock,S2,0.0,1105.1
dual_adstock,S3,0.0,360.9
dual_adstock,S4,-578.0,1578.0
dual_adstock,S5,0.0,1345.3
finite_dl,S1,50.3,49.7
finite_dl,S2,54.6,45.4
finite_dl,S3,58.0,42.0
finite_dl,S4,40.5,59.5
finite_dl,S5,0.0,228.8
geo_adstock,S1,69.9,30.1
geo_adstock,S2,83.1,16.9
geo_adstock,S3,43.2,56.8
geo_adstock,S4,63.4,36.6
geo_adstock,S5,0.0,732.8
kalman_dlm,S1,82.0,18.0
kalman_dlm,S2,83.1,16.9
kalman_dlm,S3,64.9,35.1
kalman_dlm,S4,75.4,24.6
kalman_dlm,S5,0.0,628.8
koyck,S1,46.4,53.6
koyck,S2,43.0,57.0
koyck,S3,53.7,46.3
koyck,S4,52.3,47.7
koyck,S5,0.0,108.0
mcmc_stock,S1,72.6,27.4
mcmc_stock,S2,60.9,39.1
mcmc_stock,S3,99.0,1.0
mcmc_stock,S4,90.9,9.1
mcmc_stock,S5,88.5,11.5
weibull_adstock,S1,10.5,89.5
weibull_adstock,S2,30.5,69.5
weibull_adstock,S3,0.0,122.7
weibull_adstock,S4,-23.2,123.2
weibull_adstock,S5,0.0,1081.0
