week_id,date,year,quarter,week_of_year,scenario,net_sales_observed,spend_tv,impr_tv,spend_search,impr_search,spend_social,impr_social,spend_display,impr_display,spend_video,impr_video,promo,covid_index,dgs30,mobility_index,competitor_ishare,baseline_true,exog_effect_true,noise_true,media_contribution_pct_true,stc_tv_true,ltc_tv_true,stc_search_true,ltc_search_true,stc_social_true,ltc_social_true,stc_display_true,ltc_display_true,stc_video_true,ltc_video_true,brand_stock_tv_true,brand_stock_video_true,brand_stock_social_true
1,2020-01-06,2020,1,2,S4,12.4675,1.545153,0.0595,0.217452,0.0708,0.345341,0.0253,0.119403,0.0217,0.732505,0.0384,0.0,0.0198,1.1982,0.978,0.3358,10.4337,-0.2801,-0.2776,0.2079,0.2951,0.6034,0.3243,0.0263,0.2448,0.2212,0.0686,0.0687,0.1527,0.5864,7.4583,3.9227,1.1427
2,2020-01-13,2020,1,3,S4,11.6742,0.839942,0.0369,0.191962,0.0594,0.201726,0.0148,0.096515,0.0179,0.439889,0.0247,0.0,0.0,1.196,1.0067,0.3354,9.3397,-0.1829,-0.1597,0.2293,0.3452,0.5875,0.3368,0.0252,0.2531,0.2118,0.0909,0.0663,0.1897,0.5706,7.2623,3.8168,1.0942
3,2020-01-20,2020,1,4,S4,12.0091,0.93271,0.0409,0.190703,0.0589,0.232213,0.0164,0.097743,0.018,0.47034,0.0249,0.0,0.0156,1.2595,0.9297,0.4017,9.7634,-0.3284,-0.1737,0.2288,0.3927,0.5756,0.3372,0.0248,0.2722,0.2064,0.1024,0.0649,0.213,0.5585,7.1155,3.736,1.0659
4,2020-01-27,2020,1,5,S4,12.5999,0.859598,0.0336,0.202303,0.07,0.238142,0.0156,0.095478,0.0173,0.431402,0.0259,0.0,0.0,1.2949,1.0077,0.365,10.1511,-0.2161,-0.1159,0.2207,0.3828,0.5631,0.3881,0.0252,0.2735,0.2023,0.106,0.0637,0.2308,0.5455,6.9603,3.6489,1.0448
5,2020-02-03,2020,1,6,S4,12.8162,3.205869,0.1322,0.194566,0.0628,0.241245,0.0177,0.09352,0.0187,1.428993,0.0787,0.0,0.0234,1.2171,0.9095,0.3797,9.4946,-0.3407,0.1142,0.2768,0.8661,0.5937,0.365,0.025,0.2943,0.1992,0.112,0.0627,0.4519,0.5783,7.3385,3.8685,1.0287
6,2020-02-10,2020,1,7,S4,13.8126,3.471891,0.1339,0.206349,0.0666,0.237849,0.0166,0.091066,0.0187,1.294325,0.078,0.05,0.015,1.2188,0.9543,0.3551,9.7147,0.1096,-0.0304,0.291,1.1402,0.6248,0.3781,0.0254,0.293,0.1963,0.1151,0.0618,0.5816,0.6025,7.7227,4.03,1.0142
7,2020-02-17,2020,1,8,S4,13.4856,0.951454,0.0378,0.204749,0.0712,0.278337,0.0201,0.10469,0.0221,0.430604,0.0226,0.0,0.0364,1.2557,0.9817,0.364,10.1931,-0.3303,0.0354,0.266,0.8144,0.6096,0.4017,0.0255,0.3261,0.1968,0.1275,0.0627,0.439,0.5841,7.5357,3.9073,1.0163
8,2020-02-24,2020,1,9,S4,13.0278,0.973813,0.035,0.20288,0.071,0.291754,0.0191,0.094277,0.0184,0.445384,0.0249,0.0,0.0146,1.2277,0.9986,0.3562,10.2107,-0.2567,-0.2204,0.2529,0.6218,0.5966,0.4056,0.0254,0.3313,0.1979,0.1219,0.0621,0.3626,0.5689,7.3742,3.8055,1.0224
9,2020-03-02,2020,1,10,S4,10.6477,0.893249,0.0363,0.212863,0.0763,0.259302,0.0193,0.095181,0.0196,0.419459,0.0208,0.0,0.8186,1.3076,0.3628,0.3202,10.4772,-2.8794,-0.0831,0.2942,0.522,0.5828,0.4305,0.0259,0.336,0.1968,0.1229,0.0618,0.3004,0.5539,7.2038,3.705,1.0166
10,2020-03-09,2020,1,11,S4,10.7627,0.416663,0.0156,0.204838,0.0656,0.289009,0.0217,0.107378,0.0192,0.175411,0.0098,0.0474,0.8487,1.1474,0.3493,0.3483,10.4133,-2.574,0.1057,0.2618,0.3645,0.5558,0.3864,0.0256,0.3613,0.1978,0.122,0.063,0.2192,0.5219,6.8708,3.4908,1.0218
11,2020-03-16,2020,1,12,S4,11.0552,0.790554,0.0336,0.205607,0.0647,0.304733,0.021,0.113144,0.0243,0.259546,0.0138,0.04,0.8266,1.2187,0.4075,0.3422,10.8045,-2.6209,0.1071,0.2501,0.367,0.5434,0.3734,0.0256,0.3658,0.1996,0.1378,0.0644,0.1863,0.5011,6.7172,3.3521,1.0311
12,2020-03-23,2020,1,13,S4,11.2718,1.268473,0.0448,0.23802,0.0752,0.354693,0.0236,0.12045,0.025,0.508759,0.0286,0.04,0.8396,1.2209,0.3606,0.3358,11.2574,-2.8055,-0.1304,0.2617,0.4243,0.5437,0.4191,0.0269,0.3928,0.204,0.1479,0.066,0.2258,0.4997,6.7212,3.3421,1.0539
13,2020-03-30,2020,1,14,S4,11.3655,1.273602,0.0447,0.226509,0.0778,0.385035,0.025,0.115067,0.0233,0.488818,0.0255,0.04,0.8802,1.144,0.3847,0.3592,11.1912,-2.8967,0.0291,0.2676,0.455,0.5441,0.4401,0.0269,0.418,0.2094,0.1476,0.0665,0.237,0.4972,6.7262,3.3256,1.0814
14,2020-04-06,2020,2,15,S4,11.7679,1.377394,0.0504,0.22415,0.0784,0.305939,0.0206,0.106759,0.0218,0.61454,0.033,0.0522,0.8628,1.2318,0.3529,0.4119,11.0342,-2.7633,0.3958,0.2635,0.5005,0.5467,0.447,0.0268,0.387,0.2092,0.1427,0.066,0.2734,0.502,6.7578,3.3577,1.0803
15,2020-04-13,2020,2,16,S4,10.839,0.951237,0.0367,0.205048,0.0681,0.318665,0.0207,0.105534,0.0214,0.455686,0.0249,0.0,0.836,1.2342,0.3811,0.3865,10.9568,-3.0866,-0.0032,0.2742,0.4571,0.5394,0.4014,0.0259,0.3737,0.2098,0.1389,0.0655,0.263,0.4972,6.6672,3.3261,1.0835
16,2020-04-20,2020,2,17,S4,11.0617,1.395219,0.0565,0.225144,0.0734,0.394253,0.0275,0.112018,0.0207,0.581299,0.0328,0.0,0.8297,1.2699,0.41,0.4152,11.1483,-3.1164,-0.1248,0.2852,0.5314,0.5428,0.4162,0.0265,0.4336,0.2145,0.135,0.0659,0.2883,0.5003,6.7092,3.3463,1.1082
17,2020-04-27,2020,2,18,S4,11.2727,1.379819,0.0495,0.229896,0.07,0.339514,0.0255,0.116375,0.023,0.591828,0.034,0.0,0.8507,1.3356,0.3646,0.3994,11.3882,-3.2736,-0.0313,0.2829,0.5378,0.5455,0.404,0.0269,0.4414,0.2154,0.1401,0.0666,0.3082,0.5035,6.743,3.3678,1.1127
18,2020-05-04,2020,2,19,S4,11.4324,0.969769,0.0352,0.220873,0.067,0.285825,0.021,0.103835,0.0193,0.470645,0.0269,0.0,0.6257,1.2877,0.5107,0.4084,10.7565,-2.3672,0.0166,0.2647,0.4705,0.5388,0.3876,0.0266,0.4018,0.2129,0.1311,0.0657,0.292,0.4995,6.6596,3.341,1.0995
19,2020-05-11,2020,2,20,S4,11.5357,0.902516,0.0363,0.20513,0.0622,0.28993,0.0217,0.107534,0.0189,0.502944,0.0241,0.0,0.6366,1.2485,0.5204,0.3763,11.0829,-2.4392,-0.0272,0.2531,0.4388,0.531,0.3624,0.0259,0.3901,0.211,0.1254,0.0655,0.2712,0.4979,6.5636,3.3301,1.09
20,2020-05-18,2020,2,21,S4,11.2514,0.922936,0.0353,0.214046,0.0652,0.264589,0.0186,0.111218,0.0207,0.426412,0.0229,0.0,0.6562,1.2972,0.5071,0.4061,10.9001,-2.4837,-0.0056,0.2525,0.4167,0.5245,0.3713,0.026,0.3548,0.2079,0.128,0.0658,0.2537,0.4918,6.4837,3.2897,1.0739
21,2020-05-25,2020,2,22,S4,12.3163,1.464383,0.0559,0.257866,0.0772,0.36462,0.0247,0.126503,0.0231,0.70315,0.0411,0.08,0.6731,1.3525,0.4679,0.4113,11.4091,-1.9569,-0.2598,0.2537,0.5063,0.5308,0.4277,0.0279,0.3981,0.2114,0.1369,0.0675,0.3157,0.5017,6.5614,3.3561,1.0919
22,2020-06-01,2020,2,23,S4,11.8455,0.884868,0.0314,0.189206,0.0619,0.28669,0.0199,0.095626,0.0186,0.477314,0.023,0.0,0.4122,1.2712,0.6858,0.3862,10.7385,-1.6253,-0.1733,0.2453,0.4344,0.5234,0.369,0.0255,0.3718,0.2096,0.1272,0.0654,0.281,0.4983,6.4697,3.3334,1.0828
23,2020-06-08,2020,2,24,S4,12.2241,0.454362,0.0166,0.212218,0.0757,0.242216,0.0162,0.101228,0.0205,0.195437,0.0113,0.0,0.3542,1.2745,0.7195,0.4097,11.0699,-1.5007,-0.0269,0.2194,0.3211,0.5038,0.4207,0.0259,0.3233,0.2052,0.1285,0.0647,0.2138,0.4749,6.2271,3.1765,1.0601
24,2020-06-15,2020,2,25,S4,11.6407,0.446052,0.0164,0.192997,0.0682,0.249756,0.0169,0.096007,0.0188,0.181384,0.0097,0.0,0.4061,1.3479,0.7139,0.4105,10.7965,-1.6091,-0.0297,0.2133,0.2578,0.4858,0.3963,0.0251,0.3089,0.2022,0.1237,0.0636,0.1668,0.4529,6.0051,3.0296,1.0442
25,2020-06-22,2020,2,26,S4,11.3469,0.429184,0.0157,0.187177,0.062,0.255842,0.0167,0.09757,0.0169,0.18162,0.0091,0.0,0.4014,1.3089,0.6996,0.3886,10.7054,-1.5813,-0.1019,0.2049,0.2198,0.469,0.3631,0.0246,0.2999,0.2,0.1151,0.0631,0.1364,0.4336,5.7977,2.9004,1.0333
26,2020-06-29,2020,2,27,S4,11.2891,0.458173,0.0181,0.199157,0.0675,0.227118,0.0148,0.095494,0.0176,0.182839,0.0088,0.0,0.4083,1.3524,0.6881,0.3775,10.6598,-1.5954,-0.0319,0.1999,0.2108,0.455,0.382,0.025,0.278,0.1963,0.1131,0.0625,0.117,0.4167,5.6241,2.7875,1.0141
27,2020-07-06,2020,3,28,S4,13.2596,1.551996,0.0601,0.247787,0.086,0.332877,0.0233,0.106898,0.0211,0.752206,0.0378,0.1,0.4323,1.3393,0.6736,0.3763,11.3422,-0.8707,0.011,0.2094,0.4141,0.47,0.4704,0.0272,0.35,0.2001,0.1233,0.0634,0.2207,0.438,5.8091,2.93,1.0335
28,2020-07-13,2020,3,29,S4,11.9462,0.868642,0.0361,0.181985,0.0541,0.232904,0.0162,0.100972,0.0192,0.428833,0.0226,0.0,0.3587,1.3751,0.7354,0.4016,10.619,-1.433,0.1601,0.2177,0.4066,0.4682,0.3421,0.025,0.3139,0.1968,0.1224,0.0633,0.2226,0.4393,5.7874,2.9386,1.0164
