exp_id,scenario,framework,method,timestamp,ltc_mape_tv,ltc_mape_search,ltc_mape_social,ltc_mape_display,ltc_mape_video,ltc_total_error_tv,ltc_total_error_search,ltc_total_error_social,ltc_total_error_display,ltc_total_error_video,ltc_correlation_tv,ltc_correlation_search,ltc_correlation_social,ltc_correlation_display,ltc_correlation_video,stc_mape_tv,stc_mape_search,stc_mape_social,stc_mape_display,stc_mape_video,stc_total_error_tv,stc_total_error_search,stc_total_error_social,stc_total_error_display,stc_total_error_video,ltc_mape_total,ltc_total_error_total,ltc_correlation_total,baseline_mape,media_pct_error,budget_error_tv,budget_error_search,budget_error_social,budget_error_display,budget_error_video,notes
EXP-01a,S1,F1,geo_adstock,2026-04-22T22:08:11,262.5812,1643.324,321.0852,790.9489,316.9588,2.606,16.447,3.2511,-7.9154,-3.1672,0.2207,0.457,0.7286,-0.4613,-0.2792,58.5352,345.3475,210.1404,448.0432,150.7662,-0.57,3.4644,2.1323,-4.4802,-1.5266,30.1302,0.2674,0.4274,15.8471,0.0822,0.1584,0.4114,0.2742,-0.2901,-0.5539,
EXP-01b,S1,F1,weibull_adstock,2026-04-22T22:08:14,418.5583,3895.0164,434.6129,34.3093,586.9683,4.1514,38.9596,4.3795,-0.3427,-5.8458,0.0101,0.4395,0.7481,0.4304,-0.0159,32.0205,339.8463,67.1736,64.8187,216.5988,-0.265,3.4093,0.6884,-0.6482,-2.2096,90.3008,0.8911,0.3069,22.4452,0.1386,0.2724,0.4394,0.151,-0.049,-0.8138,
EXP-01c,S1,F1,almon_pdl,2026-04-22T22:08:15,1964.9913,100.0,133.1637,1939.9148,1992.9999,19.3108,-1.0,1.0942,-19.3847,-19.6271,-0.5266,nan,-0.4805,-0.0762,0.5231,178.6118,66.8093,424.2488,1036.3319,37.2751,1.5775,0.6346,4.1915,-10.2446,-0.1799,57.4228,-0.5674,-0.0933,9.2442,0.0183,3.2832,0.06,0.4767,-0.8218,-2.9981,
EXP-01d,S1,F1,dual_adstock,2026-04-22T22:08:18,896.8983,28121.7712,141.5218,3458.3498,1095.3026,8.9496,-282.4331,1.4358,-34.6251,-10.9436,0.1942,-0.896,0.8316,-0.6388,-0.322,232.849,1827.8231,485.6584,1387.9756,405.0697,-2.3446,18.2782,4.8745,13.8807,4.1161,789.9255,-7.8988,-0.4676,12.8948,0.0562,0.8356,0.0011,0.4607,-0.134,-1.1633,
EXP-02a,S1,F2,koyck,2026-04-22T22:08:42,94.3319,627.9614,48.8657,15.4522,94.3694,-0.9426,6.3217,0.499,-0.1363,-0.9429,0.4057,0.8731,0.5925,0.63,0.4521,69.2925,149.7443,376.5222,131.6249,49.211,-0.6816,1.5036,3.8127,1.3161,-0.4706,53.6236,-0.5335,0.5426,23.7303,0.0861,-0.2944,0.1713,0.3108,0.0275,-0.2151,
EXP-02b,S1,F2,ardl,2026-04-22T22:08:44,1047.9132,100.0,991.9902,861.426,1930.5664,10.2712,-1.0,9.6974,-8.6106,-19.023,-0.4253,nan,-0.1973,-0.1047,0.4535,101.7349,100.1984,107.0998,659.5114,434.9869,-0.9791,-0.9699,1.0727,-6.5933,-4.1137,210.1662,-2.08,0.4355,36.8263,-0.3841,-0.3435,-0.1497,-0.1781,-0.0674,-0.2613,
EXP-02c,S1,F2,finite_dl,2026-04-22T22:08:46,234.7992,100.0,98.3982,100.0,389.0278,2.2293,-1.0,0.8868,-1.0,-3.8496,-0.4941,nan,-0.0332,0.0723,0.4587,179.9407,5.9564,561.8018,45.1698,522.075,1.7508,0.0383,5.6094,-0.4515,-5.1812,49.6692,-0.5028,-0.4505,11.0725,0.0386,0.5211,-0.0268,0.5473,-0.0466,-0.9949,
EXP-03a,S1,F3,kalman_dlm,2026-04-22T22:12:29,33.0942,1471.3243,331.9423,344.7707,124.9069,-0.2743,14.7249,3.3609,-3.4498,-1.2516,0.5655,0.457,0.7286,-0.4613,-0.6119,40.7126,301.3893,218.1515,223.2953,128.1881,-0.3814,3.0237,2.2132,-2.2329,-1.2924,17.997,0.0536,0.5621,16.1139,0.0841,-0.1792,0.3528,0.283,-0.1458,-0.3109,
EXP-03b,S1,F3,mcmc_stock,2026-04-22T22:12:59,37.0676,157.3935,17.9281,70.9122,59.9813,-0.3712,1.5739,0.1787,0.7091,-0.6001,0.948,0.9998,0.9889,0.9933,0.9516,36.7764,402.4297,481.859,100.0,100.0,0.3678,4.0243,4.8186,-1.0,-1.0,27.8267,-0.2789,0.9278,25.3003,0.1783,-0.1643,0.234,0.2041,-0.0472,-0.2266,
EXP-03c,S1,F3,bsts,2026-04-22T22:13:01,47.215,1547.2352,304.0688,329.0519,221.0176,0.4436,15.485,3.079,-3.2925,-2.2226,0.5655,0.457,0.7286,-0.4613,-0.6119,32.7543,320.79,197.5845,215.3775,236.9602,0.2307,3.2182,2.0055,-2.1537,-2.4208,17.5746,-0.0464,0.5501,15.1013,0.0756,-0.0069,0.3929,0.2661,-0.143,-0.5091,
