exp_id,model,parameter_name,value,assumed_or_estimated,rationale
EXP-01a,geo_adstock,model,geo_adstock,estimated,Model fit on observed data
EXP-01a,geo_adstock,feature,impressions,estimated,Model fit on observed data
EXP-01a,geo_adstock,channel_decays.tv,0.9,assumed,Selected decay parameter
EXP-01a,geo_adstock,channel_decays.search,0.2,assumed,Selected decay parameter
EXP-01a,geo_adstock,channel_decays.social,0.45,assumed,Selected decay parameter
EXP-01a,geo_adstock,channel_decays.display,0.5,assumed,Selected decay parameter
EXP-01a,geo_adstock,channel_decays.video,0.88,assumed,Selected decay parameter
EXP-01a,geo_adstock,coefs.adstock_tv,4.715045237882338,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.adstock_search,25.530142992240783,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.adstock_social,54.79029465072776,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.adstock_display,-21.902733527181407,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.adstock_video,-5.206421024877936,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.promo,11.414198036087948,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.covid_index,-4.3519996804095475,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.dgs30,0.27182735560206955,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.mobility_index,-1.5271217598824336,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.competitor_ishare,2.865911517038928,estimated,Model fit on observed data
EXP-01a,geo_adstock,coefs.intercept,9.258547151620439,estimated,Model fit on observed data
EXP-01b,weibull_adstock,model,weibull_adstock,estimated,Model fit on observed data
EXP-01b,weibull_adstock,feature,impressions,estimated,Model fit on observed data
EXP-01b,weibull_adstock,max_lag,52,estimated,Model fit on observed data
EXP-01b,weibull_adstock,channel_params.tv,"{'shape': np.float64(0.8), 'scale': np.float64(15.0)}",assumed,Selected decay parameter
EXP-01b,weibull_adstock,channel_params.search,"{'shape': np.float64(0.8), 'scale': np.float64(1.0)}",assumed,Selected decay parameter
EXP-01b,weibull_adstock,channel_params.social,"{'shape': np.float64(0.8), 'scale': np.float64(3.0)}",assumed,Selected decay parameter
EXP-01b,weibull_adstock,channel_params.display,"{'shape': np.float64(0.8), 'scale': np.float64(1.5)}",assumed,Selected decay parameter
EXP-01b,weibull_adstock,channel_params.video,"{'shape': np.float64(0.8), 'scale': np.float64(14.0)}",assumed,Selected decay parameter
EXP-01b,weibull_adstock,coefs.weibull_adstock_tv,69.46360860430094,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.weibull_adstock_search,39.88919660670898,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.weibull_adstock_social,86.90389196993985,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.weibull_adstock_display,4.301560693195734,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.weibull_adstock_video,-98.83180963212847,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.promo,13.454765569312606,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.covid_index,-4.47242122964412,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.dgs30,0.23459944913649275,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.mobility_index,-1.4450768375756475,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.competitor_ishare,3.8730889169309233,estimated,Model fit on observed data
EXP-01b,weibull_adstock,coefs.intercept,8.170929007052871,estimated,Model fit on observed data
EXP-01c,almon_pdl,model,almon_pdl,estimated,Model fit on observed data
EXP-01c,almon_pdl,stc_max_lag,6,estimated,Model fit on observed data
EXP-01c,almon_pdl,ltc_degree,3,estimated,Model fit on observed data
EXP-01c,almon_pdl,stc_cutoff,6,estimated,Model fit on observed data
EXP-01c,almon_pdl,channel_max_lag.tv,52,estimated,Model fit on observed data
EXP-01c,almon_pdl,channel_max_lag.search,4,estimated,Model fit on observed data
EXP-01c,almon_pdl,channel_max_lag.social,26,estimated,Model fit on observed data
EXP-01c,almon_pdl,channel_max_lag.display,12,estimated,Model fit on observed data
EXP-01c,almon_pdl,channel_max_lag.video,52,estimated,Model fit on observed data
EXP-01c,almon_pdl,channel_weights.tv,"[1.5704604376501292, 2.54844637903019, 3.443463614645884, 4.258217543071136, 4.995413562879868, 5.657757072646006, 6.247953470943472, 6.768708156346189, 7.222726527428083, 7.612713982763077, 7.941375920925096, 8.21141774048806, 8.425544840025896, 8.586462618112526, 8.696876473321876, 8.759491804227864, 8.777014009404425, 8.752148487425472, 8.687600636864932, 8.586075856296734, 8.450279544294798, 8.282917099433039, 8.086693920285391, 7.864315405425778, 7.618486953428121, 7.351913962866341, 7.067301832314371, 6.76735596034613, 6.454781745535527, 6.132284586456507, 5.8025698816829845, 5.46834302978889, 5.132309429348133, 4.79717447893465, 4.465643577122364, 4.140422122485191, 3.8242155135970677, 3.519729149031896, 3.2296684273636345, 2.9567387471661704, 2.703645507013448, 2.473094105479376, 2.267789941137906, 2.090438412562932, 1.9437449183283775, 1.8304148570081935, 1.7531536271762889, 1.7146666274065865, 1.7176592562730093, 1.7648369123494945, 1.8589049942099365, 2.0025689004282725, 2.1985340295784397]",estimated,Model fit on observed data
EXP-01c,almon_pdl,channel_weights.search,"[25.865143964955646, -5.311173874006705, -7.770879622639995, -0.6228116703284172, -2.9758084064563377]",estimated,Model fit on observed data
